path,sha256,bytes,n_packets,experiment,arm,implementation,vantage,ground_truth_json,gt_cipher,gt_keylen,gt_mode,gt_pfs,gt_pq,split
a7-cs-aes256gcm16.pcap,7b0a45ab4fd9f14005d7bdc34a1ed7af0d18df5a15ac12578500f95c416cd664,31328,60,EXP-08-mode,cs-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",,AES-GCM-16,256,tunnel,False,,train
a7-cs-transport-aes256gcm16.pcap,7bc72716d266adc67fef8ae45e3d8b3e507c8774507657a126d3af43242f0d66,30128,60,EXP-08-mode,cs-transport-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",,AES-GCM-16,256,transport,False,,train
classical-baseline-6.1.0.pcap,c23a0f2c6773e0e6d432e5ca1ece3e04187a0374c2823288651f4cafc188cfb9,42024,136,EXP-04-pq,classical-baseline,strongswan-6.1.0,"T0/T1 (router, keyless)",classical-baseline-6.1.0.groundtruth.json,AES-GCM-16,256,tunnel,False,False,train
classical-baseline-run2.pcap,44e66bd15c91ee943ec670fd4a568847e616179e599a3c0fd2d82163c999ba70,42024,136,EXP-04-pq,classical-baseline,strongswan-6.1.0,"T0/T1 (router, keyless)",classical-baseline-run2.groundtruth.json,AES-GCM-16,256,tunnel,False,False,train
classical-baseline.pcap,63beaec983915af20d682b883d362457ecd14f685215d89ae69ba8cc751b80cf,42024,136,EXP-04-pq,classical-baseline,strongswan-6.1.0,"T0/T1 (router, keyless)",classical-baseline.groundtruth.json,AES-GCM-16,256,tunnel,False,False,train
cs-aes128cbc-sha256.pcap,382635d155fb8aab32638c17dca11a1f87c45f0caff6c179a19df9abdb1fc055,43608,136,EXP-01/02-cipher,cs-aes128cbc-sha256,strongswan-5.9.8,"T0/T1 (router, keyless)",cs-aes128cbc-sha256.groundtruth.json,AES-CBC+HMAC-SHA256,128,tunnel,False,,train
cs-aes128ctr-sha256.pcap,94af40f82ed0a96bdd05bc5263add85a1d4ccf4c7350a69b6a05a4fa9679f275,42040,136,EXP-01/02-cipher,cs-aes128ctr-sha256,strongswan-5.9.8,"T0/T1 (router, keyless)",cs-aes128ctr-sha256.groundtruth.json,AES-CTR+HMAC-SHA256,128,tunnel,False,,train
cs-aes128gcm16.pcap,e5481abdb369a3319b0b587cf6e5b9196af4377903a9b2d2c8e74577f4a7540e,42008,136,EXP-01/02-cipher,cs-aes128gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",cs-aes128gcm16.groundtruth.json,AES-GCM-16,128,tunnel,False,,train
cs-aes256cbc-sha256.pcap,466b80d915eecb1c875daf0a9be0845a619bd6d21cc0ccc163a182d0b19cf592,43608,136,EXP-01/02-cipher,cs-aes256cbc-sha256,strongswan-5.9.8,"T0/T1 (router, keyless)",cs-aes256cbc-sha256.groundtruth.json,AES-CBC+HMAC-SHA256,256,tunnel,False,,train
cs-aes256gcm16-a7.pcap,2c430f922f8c183e241b5a8940cdfc8e41f2b41862ba685e8cdc1c56f9f13023,36336,72,EXP-01/02-cipher,cs-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",,AES-GCM-16,256,tunnel,False,,train
cs-aes256gcm16-success-baseline.pcap,dda3b1c07b13179eece252bcca04773801762eaa96fcb3bff498226d416a63b5,42008,136,EXP-01/02-cipher,cs-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",cs-aes256gcm16-success-baseline.groundtruth.json,AES-GCM-16,256,tunnel,False,,train
cs-aes256gcm16.pcap,f60484d3758b476bc335c1263aa586ce5bcf12c602b7f7410e2a31d10651018d,42008,136,EXP-01/02-cipher,cs-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",cs-aes256gcm16.groundtruth.json,AES-GCM-16,256,tunnel,False,,train
cs-chacha20poly1305.pcap,43ffb1d747fa266efa23dc77171bb11cbf969af5c3b4fd2405925291dfea6e93,42008,136,EXP-01/02-cipher,cs-chacha20poly1305,strongswan-5.9.8,"T0/T1 (router, keyless)",cs-chacha20poly1305.groundtruth.json,ChaCha20-Poly1305,256,tunnel,False,,train
cs-pfs-off-aes256gcm16.pcap,b2e078721cd4c3f4637a7e4aadd790be1623aac725825813b7aed550e6ae9c08,42024,136,EXP-01/02-cipher,cs-pfs-off-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",cs-pfs-off-aes256gcm16.groundtruth.json,AES-GCM-16,256,tunnel,False,,train
cs-pfs-on-aes256gcm16.pcap,59837f93cc658f370a7a0ff360ca329c2f499193843edc7087c362cba53d5d20,42024,136,EXP-01/02-cipher,cs-pfs-on-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",cs-pfs-on-aes256gcm16.groundtruth.json,AES-GCM-16,256,tunnel,True,,train
cs-transport-aes256gcm16-a7.pcap,8ceb9ce3a83f3917a1ffefa7123d6c80bfdac9d47ab0bc2b1991c266507a31b1,35720,70,EXP-01/02-cipher,cs-transport-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",,AES-GCM-16,256,transport,False,,train
cs-transport-aes256gcm16.pcap,ec4108afcf91320ed0e06dc7408fb0cc55439c23fa466e7cbbb82ec866b464be,39400,136,EXP-01/02-cipher,cs-transport-aes256gcm16,strongswan-5.9.8,"T0/T1 (router, keyless)",cs-transport-aes256gcm16.groundtruth.json,AES-GCM-16,256,transport,False,,train
